exp,phi_0,dV_ges,eps_0,h_dp_max,h_w_0,V_dp,Sep. Eff.,status
10mmol_21C,0.000338237,1001.661291,0.400053154,0.045480125,0.108152225,0.018311396121559326,1.0,success
10mmol_21C,0.000570634,1013.328994,0.50041046,0.046042648,0.100247435,0.020417012772082525,1.0,success
10mmol_21C,0.000526237,1000.336847,0.499900659,0.051275907,0.099901227,0.02045723722616168,1.0,success
10mmol_21C,0.000387667,1002.195121,0.500119766,0.05401427,0.108257747,0.018298013844956884,1.0,success
10mmol_21C,0.000484648,1249.761606,0.300061239,0.038515338,0.107851928,0.018462481530271906,1.0,success
10mmol_21C,0.000409823,1249.892455,0.300000441,0.039715411,0.113022656,0.017107673032175728,1.0,success
10mmol_21C,0.000312946,1250.318768,0.300031661,0.049237347,0.111810503,0.017368944693554683,1.0,success
10mmol_21C,0.000521445,1249.007805,0.400376844,0.045546267,0.094369333,0.021958551325818455,1.0,success
10mmol_21C,0.000469479,1250.197338,0.399947935,0.037810669,0.091765381,0.02262579659328922,1.0,success
10mmol_21C,0.000342463,1198.505578,0.393146823,0.033905121,0.093838846,0.022074120281756208,1.0,success
10mmol_21C,0.000578276,1252.670832,0.499955561,0.048558604,0.095985963,0.021473776330953497,1.0,success
10mmol_21C,0.000543618,1286.2615,0.501457357,0.048427868,0.101831532,0.01995965019184158,1.0,success
10mmol_21C,0.000311156,573.8697524,0.636105186,0.048044137,0.102353646,0.019870906384466994,1.0,success
10mmol_30C,0.000484589,750.2953382,0.299969729,0.027657221,0.101920696,0.01991107898730459,1.0,success
10mmol_30C,0.000484723,750.4714709,0.30086996,0.029996608,0.100728892,0.02022497485681149,1.0,success
10mmol_30C,0.000424486,747.039551,0.300277107,0.033680896,0.101963254,0.019918451769179328,1.0,success
10mmol_30C,0.000321245,756.784656,0.30165437,0.028404616,0.106520084,0.018738815934787316,1.0,success
10mmol_30C,0.000253766,755.4236992,0.300444696,0.029515776,0.110764391,0.017663384659283493,1.0,success
10mmol_30C,0.000218042,753.9525958,0.299255712,0.04081838,0.112600636,0.01722727630924932,1.0,success
10mmol_30C,0.000204692,762.5832536,0.300260935,0.028816622,0.108112661,0.01834437471370499,1.0,success
10mmol_30C,0.000525507,768.5286697,0.404567349,0.03485328,0.100120453,0.02044776820373162,1.0,success
10mmol_30C,0.000536213,751.5175953,0.400808572,0.036146741,0.099449109,0.02061362815944761,1.0,success
10mmol_30C,0.000473427,752.3400856,0.399434062,0.034894361,0.103465405,0.01960140565240702,1.0,success
10mmol_30C,0.000360226,755.7630907,0.399019986,0.031833512,0.110368597,0.017820559908860778,1.0,success
10mmol_30C,0.000265749,753.5882322,0.401281357,0.047793126,0.109816324,0.01793051004624071,1.0,success
10mmol_30C,0.000240091,749.5468121,0.398708968,0.073278927,0.109913707,0.017852966866086412,1.0,success
10mmol_30C,0.00022167,751.4893686,0.400032531,0.070955006,0.110415327,0.017727255648694075,1.0,success
10mmol_30C,0.000654894,758.7907519,0.501027341,0.040853267,0.099028083,0.020791162432933767,1.0,success
10mmol_30C,0.000677966,752.8593337,0.499499435,0.042382798,0.097580385,0.021159316459946554,1.0,success
10mmol_30C,0.000549679,750.0255688,0.50015755,0.040361707,0.101830843,0.020022090138144998,1.0,success
10mmol_30C,0.00039895,747.2833243,0.499349181,0.047611008,0.111231076,0.017516935328354133,1.0,success
10mmol_30C,0.000354428,708.8722382,0.502864522,0.074892012,0.108552304,0.018208076625776233,1.0,success
10mmol_30C,0.000331881,729.4501456,0.499580024,0.065147738,0.111880279,0.017356536239750347,1.0,success
10mmol_30C,0.000317511,728.9659997,0.503188489,0.068701843,0.110167457,0.017792661221540565,1.0,success
10mmol_30C,0.000518681,996.2166018,0.299190424,0.039886978,0.102206272,0.01995260021284802,1.0,success
10mmol_30C,0.000490018,1000.756083,0.30003545,0.035557048,0.108222652,0.018403081530297672,1.0,success
10mmol_30C,0.000509374,998.6851727,0.299717834,0.034331379,0.109312838,0.018116711896669482,1.0,success
10mmol_30C,0.000365507,1000.201091,0.300003567,0.051118616,0.114449734,0.016688432088933374,1.0,success
10mmol_30C,0.000301246,994.3540998,0.298611699,0.066413748,0.115184302,0.0164984794591553,1.0,success
10mmol_30C,0.000280242,999.5811505,0.299857956,0.066196256,0.114170378,0.016762157694655104,1.0,success
10mmol_30C,0.00027145,999.8590684,0.299809586,0.061389894,0.114551606,0.01667109449727858,1.0,success
10mmol_30C,0.000497163,1014.236315,0.398204029,0.039495049,0.107373751,0.018561870072839992,1.0,success
10mmol_30C,0.000492466,979.4911583,0.398962161,0.038421224,0.106738518,0.01874184378681655,1.0,success
10mmol_30C,0.000539625,1003.978828,0.399330826,0.040525404,0.108351713,0.018317025075555722,1.0,success
10mmol_30C,0.00042029,1002.287891,0.401056011,0.068845438,0.116344845,0.016196196695172596,1.0,success
10mmol_30C,0.000330604,1007.384867,0.3996617,0.043627778,0.118324589,0.015696115301434548,1.0,success
10mmol_30C,0.000305845,991.9571202,0.401437606,0.036550775,0.119888392,0.015291948346214626,1.0,success
10mmol_30C,0.000291252,992.7799037,0.400709559,0.053149543,0.114329707,0.01672753935830979,1.0,success
10mmol_30C,0.000568047,988.6950896,0.500769062,0.042668381,0.103836703,0.019479407444213528,1.0,success
10mmol_30C,0.000581263,998.7623251,0.499775008,0.04447336,0.106282357,0.01879778420649222,1.0,success
10mmol_30C,0.000621641,1003.32875,0.499679392,0.040051691,0.110220675,0.017776422253735925,1.0,success
10mmol_30C,0.000482122,1008.333026,0.499367542,0.069093982,0.116096568,0.016253965461632193,1.0,success
10mmol_30C,0.000368323,969.4065074,0.50092016,0.038758916,0.122499317,0.014637007427728048,1.0,success
10mmol_30C,0.000327323,1000.691121,0.499920528,0.04007388,0.12782097,0.013295799538600512,1.0,success
10mmol_30C,0.000321962,1018.928136,0.49934297,0.060286175,0.116764158,0.016091574506031027,1.0,success
10mmol_30C,0.000483431,1250.59456,0.300039241,0.032509215,0.114784118,0.01666322203001298,1.0,success
10mmol_30C,0.000478726,1245.639717,0.299030627,0.032588633,0.109581351,0.017991458473821085,1.0,success
10mmol_30C,0.000444553,1249.862193,0.299800426,0.031885855,0.108560812,0.01824939624296756,1.0,success
10mmol_30C,0.000384424,1252.957473,0.300352656,0.0373838,0.108928434,0.018167280538882297,1.0,success
10mmol_30C,0.000322286,1247.514993,0.299820695,0.043492595,0.110902872,0.017638104154496355,1.0,success
10mmol_30C,0.000293661,1250.663173,0.300126577,0.061729951,0.115226499,0.016493732764289993,1.0,success
10mmol_30C,0.000272406,1242.85638,0.298834436,0.06617026,0.11349644,0.016933979198740318,1.0,success
10mmol_30C,0.000518226,1257.190092,0.401035764,0.037581606,0.109166028,0.018046828312748637,1.0,success
10mmol_30C,0.000504494,1246.72778,0.400045085,0.038170769,0.109666481,0.017917858138046954,1.0,success
10mmol_30C,0.000507009,1234.072828,0.398862641,0.040584955,0.109285695,0.018017825868021763,1.0,success
10mmol_30C,0.000429863,1231.823584,0.399659012,0.071105811,0.110949139,0.01758908220909944,1.0,success
